"V1" "V2"
"1" 3 "tBodyAcc-mean()-X"
"2" 4 "tBodyAcc-mean()-Y"
"3" 5 "tBodyAcc-mean()-Z"
"4" 6 "tBodyAcc-std()-X"
"5" 7 "tBodyAcc-std()-Y"
"6" 8 "tBodyAcc-std()-Z"
"7" 9 "tBodyAcc-mad()-X"
"8" 10 "tBodyAcc-mad()-Y"
"9" 11 "tBodyAcc-mad()-Z"
"10" 12 "tBodyAcc-max()-X"
"11" 13 "tBodyAcc-max()-Y"
"12" 14 "tBodyAcc-max()-Z"
"13" 15 "tBodyAcc-min()-X"
"14" 16 "tBodyAcc-min()-Y"
"15" 17 "tBodyAcc-min()-Z"
"16" 18 "tBodyAcc-sma()"
"17" 19 "tBodyAcc-energy()-X"
"18" 20 "tBodyAcc-energy()-Y"
"19" 21 "tBodyAcc-energy()-Z"
"20" 22 "tBodyAcc-iqr()-X"
"21" 23 "tBodyAcc-iqr()-Y"
"22" 24 "tBodyAcc-iqr()-Z"
"23" 25 "tBodyAcc-entropy()-X"
"24" 26 "tBodyAcc-entropy()-Y"
"25" 27 "tBodyAcc-entropy()-Z"
"26" 28 "tBodyAcc-arCoeff()-X,1"
"27" 29 "tBodyAcc-arCoeff()-X,2"
"28" 30 "tBodyAcc-arCoeff()-X,3"
"29" 31 "tBodyAcc-arCoeff()-X,4"
"30" 32 "tBodyAcc-arCoeff()-Y,1"
"31" 33 "tBodyAcc-arCoeff()-Y,2"
"32" 34 "tBodyAcc-arCoeff()-Y,3"
"33" 35 "tBodyAcc-arCoeff()-Y,4"
"34" 36 "tBodyAcc-arCoeff()-Z,1"
"35" 37 "tBodyAcc-arCoeff()-Z,2"
"36" 38 "tBodyAcc-arCoeff()-Z,3"
"37" 39 "tBodyAcc-arCoeff()-Z,4"
"38" 40 "tBodyAcc-correlation()-X,Y"
"39" 41 "tBodyAcc-correlation()-X,Z"
"40" 42 "tBodyAcc-correlation()-Y,Z"
"41" 43 "tGravityAcc-mean()-X"
"42" 44 "tGravityAcc-mean()-Y"
"43" 45 "tGravityAcc-mean()-Z"
"44" 46 "tGravityAcc-std()-X"
"45" 47 "tGravityAcc-std()-Y"
"46" 48 "tGravityAcc-std()-Z"
"47" 49 "tGravityAcc-mad()-X"
"48" 50 "tGravityAcc-mad()-Y"
"49" 51 "tGravityAcc-mad()-Z"
"50" 52 "tGravityAcc-max()-X"
"51" 53 "tGravityAcc-max()-Y"
"52" 54 "tGravityAcc-max()-Z"
"53" 55 "tGravityAcc-min()-X"
"54" 56 "tGravityAcc-min()-Y"
"55" 57 "tGravityAcc-min()-Z"
"56" 58 "tGravityAcc-sma()"
"57" 59 "tGravityAcc-energy()-X"
"58" 60 "tGravityAcc-energy()-Y"
"59" 61 "tGravityAcc-energy()-Z"
"60" 62 "tGravityAcc-iqr()-X"
"61" 63 "tGravityAcc-iqr()-Y"
"62" 64 "tGravityAcc-iqr()-Z"
"63" 65 "tGravityAcc-entropy()-X"
"64" 66 "tGravityAcc-entropy()-Y"
"65" 67 "tGravityAcc-entropy()-Z"
"66" 68 "tGravityAcc-arCoeff()-X,1"
"67" 69 "tGravityAcc-arCoeff()-X,2"
"68" 70 "tGravityAcc-arCoeff()-X,3"
"69" 71 "tGravityAcc-arCoeff()-X,4"
"70" 72 "tGravityAcc-arCoeff()-Y,1"
"71" 73 "tGravityAcc-arCoeff()-Y,2"
